Date, Open, High, Low, Close
06/04/99, 6361.48, 6361.48, 6361.48, 6361.48
06/03/99, 6348.58, 6348.58, 6348.58, 6348.58
06/02/99, 6302.23, 6302.20, 6302.20, 6302.23
06/01/99, 6250.03, 6250.03, 6250.03, 6250.03
05/28/99, 6226.22, 6226.22, 6226.22, 6226.22
05/27/99, 6199.47, 6199.47, 6199.47, 6199.47
05/26/99, 6236.77, 6236.77, 6236.77, 6236.77
05/25/99, 6249.32, 6249.32, 6249.32, 6249.32
05/24/99, 6322.10, 6322.10, 6322.10, 6322.10
05/21/99, 6353.10, 6353.10, 6353.10, 6353.10
05/20/99, 6368.18, 6368.18, 6368.18, 6368.18
05/19/99, 6266.73, 6266.73, 6266.73, 6266.73
05/18/99, 6206.43, 6206.43, 6206.43, 6206.43
05/17/99, 6165.79, 6165.79, 6165.79, 6165.79
05/14/99, 6300.42, 6300.42, 6300.42, 6300.42
05/13/99, 6456.62, 6456.62, 6456.62, 6456.62
05/12/99, 6343.12, 6343.12, 6343.12, 6343.12
05/11/99, 6378.26, 6378.26, 6378.26, 6378.26
05/10/99, 6348.82, 6348.82, 6348.82, 6348.82
05/07/99, 6356.03, 6356.03, 6356.03, 6356.03
05/06/99, 6406.59, 6406.59, 6406.59, 6406.59
05/05/99, 6401.67, 6401.67, 6401.67, 6401.67
05/04/99, 6533.14, 6533.14, 6533.14, 6533.14
04/30/99, 6552.18, 6552.18, 6552.18, 6552.18
04/29/99, 6497.60, 6497.60, 6497.60, 6497.60
04/28/99, 6598.77, 6598.77, 6598.77, 6598.77
04/27/99, 6593.62, 6593.62, 6593.62, 6593.62
04/26/99, 6503.59, 6503.59, 6503.59, 6503.59
04/23/99, 6427.99, 6427.99, 6427.99, 6427.99
04/22/99, 6413.55, 6413.55, 6413.55, 6413.55
04/21/99, 6310.95, 6311.00, 6311.00, 6310.95
04/20/99, 6319.76, 6319.76, 6319.76, 6319.76
04/19/99, 6515.34, 6515.34, 6515.34, 6515.34
04/16/99, 6420.61, 6420.61, 6420.61, 6420.61
04/15/99, 6466.13, 6466.10, 6466.10, 6466.13
04/14/99, 6493.56, 6493.56, 6493.56, 6493.56
04/13/99, 6513.08, 6513.08, 6513.08, 6513.08
04/12/99, 6441.16, 6441.20, 6441.20, 6441.16
04/09/99, 6472.83, 6472.83, 6472.83, 6472.83
04/08/99, 6437.87, 6437.87, 6437.87, 6437.87
04/07/99, 6473.22, 6473.22, 6473.22, 6473.22
04/06/99, 6415.28, 6415.28, 6415.28, 6415.28
04/01/99, 6330.02, 6330.02, 6330.02, 6330.02
03/31/99, 6295.33, 6295.30, 6295.30, 6295.33
03/30/99, 6264.15, 6264.15, 6264.15, 6264.15
03/29/99, 6252.92, 6252.90, 6252.90, 6252.92
03/26/99, 6139.23, 6139.23, 6139.23, 6139.23
03/25/99, 6084.99, 6084.99, 6084.99, 6084.99
03/24/99, 6016.70, 6016.70, 6016.70, 6016.70
03/23/99, 6060.51, 6060.51, 6060.51, 6060.51
03/22/99, 6152.76, 6152.76, 6152.76, 6152.76
03/19/99, 6163.21, 6163.21, 6163.21, 6163.21
03/18/99, 6114.27, 6114.27, 6114.27, 6114.27
03/17/99, 6140.58, 6140.58, 6140.58, 6140.58
03/16/99, 6201.91, 6201.91, 6201.91, 6201.91
03/15/99, 6206.77, 6206.77, 6206.77, 6206.77
03/12/99, 6282.22, 6282.22, 6282.22, 6282.22
03/11/99, 6335.68, 6335.68, 6335.68, 6335.68
03/10/99, 6241.48, 6241.48, 6241.48, 6241.48
03/09/99, 6237.66, 6237.70, 6237.70, 6237.66
03/08/99, 6208.85, 6208.80, 6208.80, 6208.85
03/05/99, 6205.48, 6205.48, 6205.48, 6205.48
03/04/99, 6101.45, 6101.45, 6101.45, 6101.45
03/03/99, 6048.32, 6048.32, 6048.32, 6048.32
03/02/99, 6061.27, 6061.27, 6061.27, 6061.27
03/01/99, 6060.87, 6060.87, 6060.87, 6060.87
02/26/99, 6175.10, 6175.10, 6175.10, 6175.10
02/25/99, 6206.51, 6206.51, 6206.51, 6206.51
02/24/99, 6307.62, 6307.62, 6307.62, 6307.62
02/23/99, 6155.24, 6155.24, 6155.24, 6155.24
02/22/99, 6069.93, 6069.93, 6069.93, 6069.93
02/19/99, 6031.21, 6031.21, 6031.21, 6031.21
02/18/99, 6074.92, 6074.92, 6074.92, 6074.92
02/17/99, 6078.39, 6078.39, 6078.39, 6078.39
02/16/99, 6108.61, 6108.61, 6108.61, 6108.61
02/15/99, 6023.24, 6023.24, 6023.24, 6023.24
02/12/99, 5950.73, 5950.73, 5950.73, 5950.73
02/11/99, 5888.50, 5888.50, 5888.50, 5888.50
02/10/99, 5770.20, 5770.20, 5770.20, 5770.20
02/09/99, 5779.91, 5779.91, 5779.91, 5779.91
02/08/99, 5834.91, 5834.91, 5834.91, 5834.91
02/05/99, 5855.27, 5855.27, 5855.27, 5855.27
02/04/99, 5939.92, 5939.92, 5939.92, 5939.92
02/03/99, 5940.26, 5940.26, 5940.26, 5940.26
02/02/99, 6012.98, 6012.98, 6012.98, 6012.98
02/01/99, 6012.39, 6012.39, 6012.39, 6012.39
01/29/99, 5896.00, 5896.00, 5896.00, 5896.00
01/28/99, 5872.50, 5872.50, 5872.50, 5872.50
01/27/99, 5876.40, 5876.40, 5876.40, 5876.40
01/26/99, 5885.66, 5885.66, 5885.66, 5885.66
01/25/99, 5880.94, 5880.94, 5880.94, 5880.94
01/22/99, 5861.24, 5861.24, 5861.24, 5861.24
01/21/99, 6022.25, 6022.25, 6022.25, 6022.25
01/20/99, 6105.59, 6105.59, 6105.59, 6105.59
01/19/99, 6027.59, 6027.59, 6027.59, 6027.59
01/18/99, 6123.93, 6123.93, 6123.93, 6123.93
01/15/99, 5941.02, 5941.02, 5941.02, 5941.02
01/14/99, 5820.18, 5820.18, 5820.18, 5820.18
01/13/99, 5850.11, 5850.11, 5850.11, 5850.11
01/12/99, 6033.61, 6033.61, 6033.61, 6033.61
01/11/99, 6085.01, 6085.01, 6085.01, 6085.01
01/08/99, 6147.18, 6147.18, 6147.18, 6147.18
01/07/99, 6101.23, 6101.23, 6101.23, 6101.23
01/06/99, 6148.83, 6148.83, 6148.83, 6148.83
01/05/99, 5958.19, 5958.19, 5958.19, 5958.19
01/04/99, 5879.44, 5879.40, 5879.40, 5879.44
12/30/98, 5882.58, 5882.58, 5882.58, 5882.58
12/29/98, 5941.54, 5941.54, 5941.54, 5941.54
12/24/98, 5867.22, 5867.22, 5867.22, 5867.22
12/23/98, 5908.80, 5908.79, 5908.79, 5908.80
12/22/98, 5843.30, 5843.29, 5843.29, 5843.30
12/21/98, 5876.50, 5876.50, 5876.50, 5876.50
12/18/98, 5741.85, 5741.85, 5741.85, 5741.85
12/17/98, 5685.24, 5685.24, 5685.24, 5685.24
12/16/98, 5630.40, 5630.40, 5630.40, 5630.40
12/15/98, 5557.09, 5557.09, 5557.09, 5557.09
12/14/98, 5534.52, 5534.52, 5534.52, 5534.52
12/11/98, 5541.70, 5541.73, 5541.73, 5541.70
12/10/98, 5660.31, 5660.31, 5660.31, 5660.31
12/09/98, 5669.10, 5669.11, 5669.11, 5669.10
12/08/98, 5615.68, 5615.68, 5615.68, 5615.68
12/07/98, 5576.71, 5576.71, 5576.71, 5576.71
12/04/98, 5581.90, 5581.93, 5581.93, 5581.90
12/03/98, 5566.13, 5566.13, 5566.13, 5566.13
12/02/98, 5507.20, 5507.20, 5507.20, 5507.20
12/01/98, 5537.45, 5537.45, 5537.45, 5537.45
11/30/98, 5743.89, 5743.89, 5743.89, 5743.89
11/27/98, 5844.20, 5844.21, 5844.21, 5844.20
11/26/98, 5827.90, 5827.87, 5827.87, 5827.90
11/25/98, 5755.30, 5755.27, 5755.27, 5755.30
11/24/98, 5798.26, 5798.26, 5798.26, 5798.26
11/23/98, 5848.40, 5848.37, 5848.37, 5848.40
11/20/98, 5717.49, 5717.49, 5717.49, 5717.49
11/19/98, 5606.20, 5606.18, 5606.18, 5606.20
11/18/98, 5474.00, 5474.01, 5474.01, 5474.00
11/17/98, 5502.72, 5502.72, 5502.72, 5502.72
11/16/98, 5510.50, 5510.50, 5510.50, 5510.50
11/13/98, 5463.22, 5463.22, 5463.22, 5463.22
11/12/98, 5448.90, 5448.95, 5448.95, 5448.90
11/11/98, 5476.80, 5476.84, 5476.84, 5476.80
11/10/98, 5432.30, 5432.34, 5432.34, 5432.30
11/09/98, 5433.90, 5433.86, 5433.86, 5433.90
11/06/98, 5491.00, 5490.97, 5490.97, 5491.00
11/05/98, 5479.80, 5479.81, 5479.81, 5479.80
11/04/98, 5622.90, 5622.86, 5622.86, 5622.90
11/03/98, 5503.90, 5503.87, 5503.87, 5503.90
11/02/98, 5525.50, 5525.52, 5525.52, 5525.50
10/30/98, 5438.40, 5438.37, 5438.37, 5438.40
10/29/98, 5358.50, 5358.52, 5358.52, 5358.50
10/28/98, 5293.90, 5293.88, 5293.88, 5293.90
10/27/98, 5331.20, 5331.16, 5331.16, 5331.20
10/26/98, 5231.50, 5231.47, 5231.47, 5231.50
10/23/98, 5217.10, 5217.14, 5217.14, 5217.10
10/22/98, 5229.90, 5229.94, 5229.94, 5229.90
10/21/98, 5206.60, 5206.60, 5206.60, 5206.60
10/20/98, 5251.90, 5251.88, 5251.88, 5251.90
10/19/98, 5077.50, 5077.53, 5077.53, 5077.50
10/16/98, 5133.10, 5133.07, 5133.07, 5133.10
10/15/98, 5056.30, 5056.31, 5056.31, 5056.30
10/14/98, 5038.40, 5038.43, 5038.43, 5038.40
10/13/98, 4990.10, 4990.14, 4990.14, 4990.10
10/12/98, 5037.60, 5037.65, 5037.65, 5037.60
10/09/98, 4823.40, 4823.39, 4823.39, 4823.40
10/08/98, 4698.80, 4698.85, 4698.85, 4698.80
10/07/98, 4828.90, 4828.90, 4828.90, 4828.90
10/06/98, 4854.00, 4853.97, 4853.97, 4854.00
10/05/98, 4648.70, 4648.70, 4648.70, 4648.70
10/02/98, 4750.40, 4750.35, 4750.35, 4750.40
10/01/98, 4908.20, 4908.19, 4908.19, 4908.20
09/30/98, 5064.40, 5064.36, 5064.36, 5064.40
09/29/98, 5108.70, 5108.73, 5108.73, 5108.70
09/28/98, 5093.50, 5093.53, 5093.53, 5093.50
09/25/98, 5061.00, 5061.01, 5061.01, 5061.00
09/24/98, 5167.60, 5167.63, 5167.63, 5167.60
09/23/98, 5214.70, 5214.68, 5214.68, 5214.70
09/22/98, 5103.30, 5103.31, 5103.31, 5103.30
09/21/98, 4990.30, 4990.33, 4990.33, 4990.30
09/18/98, 5055.60, 5055.58, 5055.58, 5055.60
09/17/98, 5132.90, 5132.89, 5132.89, 5132.90
09/16/98, 5291.70, 5291.67, 5291.67, 5291.70
09/15/98, 5281.70, 5281.73, 5281.73, 5281.70
09/14/98, 5268.60, 5268.61, 5268.61, 5268.60
09/11/98, 5118.60, 5118.59, 5118.59, 5118.60
09/10/98, 5136.60, 5136.57, 5136.57, 5136.60
09/09/98, 5311.30, 5311.26, 5311.26, 5311.30
09/08/98, 5344.20, 5344.20, 5344.20, 5344.20
09/07/98, 5347.00, 5347.03, 5347.03, 5347.00
09/04/98, 5167.00, 5167.03, 5167.03, 5167.00
09/03/98, 5118.70, 5118.72, 5118.72, 5118.70
09/02/98, 5235.80, 5235.85, 5235.85, 5235.80
09/01/98, 5169.10, 5169.14, 5169.14, 5169.10
08/28/98, 5249.40, 5249.40, 5249.40, 5249.40
08/27/98, 5368.50, 5368.50, 5368.50, 5368.50
08/26/98, 5545.40, 5545.40, 5545.40, 5545.40
08/25/98, 5654.40, 5654.40, 5654.40, 5654.40
08/24/98, 5553.70, 5553.70, 5553.70, 5553.70
08/21/98, 5477.00, 5477.00, 5477.00, 5477.00
08/20/98, 5667.40, 5667.40, 5667.40, 5667.40
08/19/98, 5694.30, 5694.30, 5694.30, 5694.30
08/18/98, 5648.20, 5648.20, 5648.20, 5648.20
08/17/98, 5467.20, 5467.20, 5467.20, 5467.20
08/14/98, 5455.00, 5455.00, 5455.00, 5455.00
08/13/98, 5399.50, 5399.50, 5399.50, 5399.50
08/12/98, 5462.20, 5462.20, 5462.20, 5462.20
08/11/98, 5432.80, 5432.80, 5432.80, 5432.80
08/10/98, 5587.60, 5587.60, 5587.60, 5587.60
08/07/98, 5680.40, 5680.40, 5680.40, 5680.40
08/06/98, 5594.10, 5594.10, 5594.10, 5594.10
08/05/98, 5632.50, 5632.50, 5632.50, 5632.50
08/04/98, 5736.10, 5736.10, 5736.10, 5736.10
08/03/98, 5809.70, 5809.70, 5809.70, 5809.70
07/31/98, 5837.00, 5837.00, 5837.00, 5837.00
07/30/98, 5910.70, 5910.70, 5910.70, 5910.70
07/29/98, 5844.10, 5844.10, 5844.10, 5844.10
07/28/98, 5835.80, 5835.80, 5835.80, 5835.80
07/27/98, 5836.10, 5836.10, 5836.10, 5836.10
07/24/98, 5892.30, 5892.30, 5892.30, 5892.30
07/23/98, 5976.20, 5976.20, 5976.20, 5976.20
07/22/98, 5989.60, 5989.60, 5989.60, 5989.60
07/21/98, 6132.70, 6132.70, 6132.70, 6132.70
07/20/98, 6179.00, 6179.00, 6179.00, 6179.00
07/17/98, 6174.00, 6174.00, 6174.00, 6174.00
07/16/98, 6116.80, 6116.80, 6116.80, 6116.80
07/15/98, 6151.50, 6151.50, 6151.50, 6151.50
07/14/98, 6100.20, 6100.20, 6100.20, 6100.20
07/13/98, 5958.20, 5958.20, 5958.20, 5958.20
07/10/98, 5929.70, 5929.70, 5929.70, 5929.70
07/09/98, 5969.70, 5969.70, 5969.70, 5969.70
07/08/98, 6009.60, 6009.60, 6009.60, 6009.60
07/07/98, 6003.40, 6003.40, 6003.40, 6003.40
07/06/98, 5990.30, 5990.30, 5990.30, 5990.30
07/03/98, 5988.40, 5988.40, 5988.40, 5988.40
07/02/98, 5960.20, 5960.20, 5960.20, 5960.20
07/01/98, 5919.90, 5919.90, 5919.90, 5919.90
06/30/98, 5832.50, 5832.50, 5832.50, 5832.50
06/29/98, 5884.50, 5884.50, 5884.50, 5884.50
06/26/98, 5877.40, 5877.40, 5877.40, 5877.40
06/25/98, 5858.90, 5858.90, 5858.90, 5858.90
06/24/98, 5804.90, 5804.90, 5804.90, 5804.90
06/23/98, 5772.00, 5772.00, 5772.00, 5772.00
06/22/98, 5712.40, 5712.40, 5712.40, 5712.40
06/19/98, 5748.10, 5748.10, 5748.10, 5748.10
06/18/98, 5812.10, 5812.10, 5812.10, 5812.10
06/17/98, 5832.70, 5832.70, 5832.70, 5832.70
06/16/98, 5729.68, 5729.70, 5729.70, 5729.68
06/15/98, 5715.70, 5715.70, 5715.70, 5715.70
06/12/98, 5769.80, 5769.80, 5769.80, 5769.80
06/11/98, 5852.50, 5852.50, 5852.50, 5852.50
06/10/98, 5987.40, 5987.40, 5987.40, 5987.40
06/09/98, 6019.80, 6019.80, 6019.80, 6019.80
06/08/98, 6037.80, 6037.80, 6037.80, 6037.80
06/05/98, 5947.30, 5947.30, 5947.30, 5947.30
06/04/98, 5860.80, 5860.80, 5860.80, 5860.80
